"Time"	"BTC / USD Denominated Closing Price"	"BTC / MVRV (Market Cap / Realized Market Cap)"	"BTC / 30 Day Volatility"	"BTC / 180 Day Volatility"
"2011-06-19"	17.5107167913501	2.69066084	0.15158253609469974	0.09760523024304904
"2011-06-20"	17.5107167913501	2.67081932	0.15152195341795893	0.09761774795649174
"2011-06-21"	17.5107167913501	2.63871848	0.15117666600462096	0.0976175861119827
"2011-06-22"	17.5107167913501	2.62779902	0.15124053609959218	0.097605093731328
"2011-06-23"	17.5107167913501	2.61500773	0.1513059512376005	0.0976137486034783
"2011-06-24"	17.5107167913501	2.59755925	0.14973313468111837	0.09759426161351482
"2011-06-25"	17.5107167913501	2.58920413	0.1497960904399563	0.09759335947387447
"2011-06-26"	16.3613420157802	2.40438777	0.15042524089632056	0.09779113014772117
"2011-06-27"	16.7522858132671	2.41862667	0.1502061257668689	0.09773842650537486
"2011-06-28"	16.9618353071303	2.4228443	0.15018598336366032	0.0977269389833831
"2011-06-29"	16.8545683179427	2.39153255	0.15022907782504527	0.09773621210015267
"2011-06-30"	16.1852627808299	2.27916897	0.15057697506898293	0.09783466584271255
"2011-07-01"	15.4203573991818	2.17517451	0.15034645328324917	0.09796225283090819
"2011-07-02"	15.38284406955	2.17108212	0.14939578883919868	0.09793661366124064
"2011-07-03"	15.4575505604909	2.17640481	0.14006370857043968	0.09794282180417602
"2011-07-04"	13.8527968123904	1.95761946	0.13340937276097906	0.09841931511166552
"2011-07-05"	12.9648177147867	1.82728432	0.1327200396083993	0.09861920222065211
"2011-07-06"	14.7147835832846	2.06878863	0.13336882057148713	0.09886301728680975
"2011-07-07"	14.7972891613092	2.07598143	0.1254371754764796	0.09886572180612842
"2011-07-08"	14.2990376969608	2.0056172	0.1171534147147449	0.09894014880959442
"2011-07-09"	14.3815006697838	2.01609779	0.11724467026334699	0.09894393356176032
"2011-07-10"	14.6229375511397	2.03850499	0.11361633258601316	0.09893194790932192
"2011-07-11"	14.3101554330801	1.99133352	0.07047415872736158	0.09892568283067325
"2011-07-12"	14.0212726215663	1.94872351	0.052976603928997806	0.09895681750978107
"2011-07-13"	13.9714545225015	1.93841196	0.05228147620565439	0.09771738717515446
"2011-07-14"	13.997974547633	1.93955814	0.05233086931967009	0.09763868174131281
"2011-07-15"	13.8063904056108	1.91086852	0.05217795062008465	0.09766201660766272
"2011-07-16"	13.7130792992402	1.89668424	0.050442729317727836	0.09725965191395661
"2011-07-17"	13.2581353109293	1.8320481	0.04320689502091606	0.0968512437294199
"2011-07-18"	13.6305212504383	1.94207395	0.0399190835817613	0.0968399960131991
"2011-07-19"	13.8247948386908	1.96438973	0.0392626160382361	0.09568528534286715
"2011-07-20"	13.6783305920514	1.96296845	0.03923706694885772	0.09562586722225466
"2011-07-21"	13.6118084418469	1.95201716	0.039211879051560664	0.09562055041215692
"2011-07-22"	13.6985473310929	1.96311336	0.039275876287845214	0.09561978374936543
"2011-07-23"	13.6817183424898	1.95853437	0.03926768388675738	0.0954829241105974
"2011-07-24"	13.992515176505	1.99913286	0.0396422835071361	0.0954282114271364
"2011-07-25"	14.0334253787259	2.00132141	0.039664846527268295	0.09543479915855985
"2011-07-26"	13.8780323232028	1.97632833	0.03799756974493103	0.09546155031529593
"2011-07-27"	13.878224755114	1.97282473	0.03761671561418554	0.09543748639631223
"2011-07-28"	13.4915910756867	1.91925019	0.03765249435864047	0.09547401876308775
"2011-07-29"	13.5123163901227	1.91940166	0.037689234408128346	0.0953609114035194
"2011-07-30"	13.5402806738749	1.91948827	0.03719625954141359	0.09519242468812456
"2011-07-31"	13.3729061022794	1.8957305	0.03635031469341643	0.09287458857474028
"2011-08-01"	13.0191138468732	1.84650394	0.03656862230702841	0.09292782951692227
"2011-08-02"	12.2141564389246	1.73338364	0.03801525957200699	0.09300947902774664
"2011-08-03"	9.28635691350088	1.33360498	0.059165218188417204	0.0948966303970983
"2011-08-04"	10.7685037481005	1.54422773	0.06518863770547194	0.0951135637882844
"2011-08-05"	9.73015395967271	1.40034516	0.062403856424179255	0.09547640848605528
"2011-08-06"	6.964169735827	1.01786264	0.0854054212187608	0.09891868608314353
"2011-08-07"	8.50179329222677	1.24329896	0.09470068768857072	0.09989666724284622
"2011-08-08"	7.77533763793104	1.15587536	0.09548910319133981	0.09995806146509123
"2011-08-09"	9.80249948100526	1.45369998	0.10587898007391769	0.10123210260459226
