Time,BTC / USD Denominated Closing Price,BTC / MVRV (Market Cap / Realized Market Cap),BTC / 30 Day Volatility,BTC / 180 Day Volatility
26/02/2020,8798.888949,1.51151916,0.028887531,0.029905184
27/02/2020,8779.029482,1.50901158,0.027674937,0.029904438
28/02/2020,8750.593446,1.50435395,0.02766803,0.029878549
29/02/2020,8582.0903,1.47581569,0.027491871,0.029551361
01/03/2020,8541.773894,1.46928146,0.027389559,0.029497475
02/03/2020,8906.214756,1.53109223,0.028576032,0.029670185
03/03/2020,8768.810614,1.50704354,0.028683774,0.029689953
04/03/2020,8756.369572,1.50859699,0.02867245,0.029640733
05/03/2020,9062.615803,1.56090164,0.029341656,0.029731726
06/03/2020,9147.085059,1.57478419,0.027856025,0.029735802
07/03/2020,8898.306957,1.53210003,0.028129698,0.029799311
08/03/2020,8109.614541,1.39731984,0.032482649,0.030529988
09/03/2020,7896.38532,1.36296685,0.032512689,0.030584406
10/03/2020,7909.927875,1.3667676,0.032020457,0.030519238
11/03/2020,7939.341335,1.37532279,0.031874853,0.030520184
12/03/2020,4959.313414,0.87746909,0.089678626,0.046409233
13/03/2020,5627.692388,1.00230839,0.093660876,0.047417767
14/03/2020,5145.172506,0.91943052,0.094491821,0.047851832
15/03/2020,5358.610663,0.9586443,0.094997253,0.047966178
16/03/2020,5012.927388,0.9005596,0.095265437,0.048196276
17/03/2020,5416.754711,0.97465625,0.096906043,0.048565426
18/03/2020,5392.487836,0.97098752,0.096938237,0.048563354
19/03/2020,6203.551632,1.11612479,0.100461632,0.049715972
20/03/2020,6174.149476,1.11275432,0.10019726,0.049711937
21/03/2020,6175.831022,1.11317824,0.100209385,0.049650079
22/03/2020,5830.56098,1.05120625,0.100400806,0.049065024
23/03/2020,6486.408657,1.16908967,0.10288889,0.049706096
24/03/2020,6775.057619,1.21902362,0.103110697,0.049732991
25/03/2020,6689.969013,1.20405859,0.103039935,0.049731417
26/03/2020,6754.460336,1.21539093,0.103044325,0.04973735
27/03/2020,6490.795415,1.168733,0.102775364,0.049807357
28/03/2020,6231.81989,1.12273873,0.102913409,0.049849937
29/03/2020,5904.857587,1.06488351,0.103189682,0.050000346
30/03/2020,6436.9057,1.16111925,0.104759129,0.050427569
31/03/2020,6432.383242,1.16086021,0.104768115,0.05042014
01/04/2020,6643.110009,1.20232747,0.104621541,0.050477251
02/04/2020,6792.742222,1.2293196,0.104777316,0.050507222
